company,division,job_title,apply_term,university,major,gpa,gpa_scale,toeic,opic,toeic_speaking,work_experience,other_certifications
삼성전자,DS부문 제조&기술담당,반도체공정기술,2024 상반기,홍익대학교,화학공학과,4.39,4.5,905,IH,,,
삼성전자,DA사업부 SW개발,,2024 상반기,인하대학교,컴퓨터공학과,3.47,,,IM2,,,"기타: SQLD, 리눅스마스터 2급, 정보처리기사"
삼성전자,AVP 사업팀,패키지 개발,2024 상반기,산기대,생명화학공학과,3.69,,750,IM2,,앰코코리아 1년,
삼성전자,DS 평가 및 분석,,2024 상반기,서성한,기계공학,4.13,4.5,,IM2,,삼성전자DS 장기현장실습 ,
삼성전자,DS부문 Test&System Package총괄,패키지개발,2024 상반기,중앙대,기계공학과,4.31,4.5,,AL,,,"한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 운전면허"
삼성전자,DS 제조&기술담당,반도체공정기술,2024 상반기,홍익대학교,화학공학과,4.39,4.5,905,Ih,,,"공정실습, 데이터분석 교육"
삼성전자,파운드리사업부,회로설계,2024 상반기,인하대학교,정보통신공학과,3.85,4.5,,IH,,한국철도기술연구원 인턴 1회 ,"우수논문상 수상, VE경진대회 입상"
삼성전자,AVP사업팀,반도체공정기술,2024 상반기,숭실대,전기공학부,3.82,4.5,,IM1,,,"캡스톤,특허유니버시아드, 컴퓨터활용능력: 1급"
삼성전자,CTO_반도체연구소_반도체공정기술,,2024 상반기,건동홍,화학공학,3.5,4.5,,AL,,장비사 1년,
삼성전자,SW개발,,2024 상반기,지방,"전자공학, 컴퓨터공학",4.04,4.5,,,140,,
