company_name,company_type,main_job,detail_job,location,qualification,process
플랜핏,중소기업,IT/인터넷,,,"- IT 서비스 PM & PO 관련된 업무에 관해 실제로 경험이 있는 분
- 사용자와 대화에 두려움이 없으며 사용자 관점에서 생각하며 사용자에게 관심이 많은 분
- 데이터를 통해 문제를 파악하고 데이터를 측정하여 해당 데이터에 기반한 논리적인 의사 결정을 내릴 수 있는 분
- 다양한 분야의 이해관계자(팀원 및 외부인)와 효율적인 커뮤니케이션이 가능한 분","[인재 영입 프로세스]
- 서류 전형 -> 1차 직무 인터뷰 -> 2차 컬쳐핏 인터뷰 -> 최종 합격"
리얼드로우,중소기업,,SW Engineer,서울 마포구,- 하단 상세 공고 참조,"[전형 안내]
서류전형 - 면접전형 - 최종합격

*이메일 접수: people@realdraw.ai
(이력서, 포트폴리오)"
주식회사 화이트큐브,스타트업,,콘텐츠 디자이너 인턴,서울 강남구,"그래픽 툴(Figma, Photoshop, Illustrator 등)을 활용한 디자인이 가능하신 분
비즈니스 성장을 위한 다양한 프로젝트 기획 및 디자인 가능하신 분
디자인 결과물의 성과 데이터를 함께 확인하고 개선하여 ’비즈니스 성과’를 달성하고 싶은 분
ex) 상품 소개서 개선을 통한 B2B 계약 전환율 상승, 광고 소재 효율 테스트 등","[전형 안내]
서류전형 - 면접전형 - 최종합격"
주식회사 화이트큐브,스타트업,,백엔드 개발자 인턴,서울 강남구,"• Python 또는 Node.js, Go 등 하나 이상의 언어에 익숙하신 분
• HTTP, HTML, JSON 등 웹 기본 구조에 대한 이해가 있으신 분
• 사용자 경험과 고객 가치를 최우선으로 하여 개발을 통해 비즈니스 성장에 기여하고 싶은 열망이 있는 분
• 진짜 ‘성공’을 만들고자 하는 열망이 강한 분.
• 이 업무를 왜 해야 하는지를 항상 고민하며, 해당 이유를 근거로 팀원들을 설득할 수 있는 분
• 컴퓨터공학 전공 혹은 이에 준하는 지식 및 활용 역량이 있으신 분","[전형 안내]
서류전형 - 면접전형 - 최종합격"
놀유니버스,중견기업,,브랜드 마케팅 지원 담당자,경기 성남시 수정구,"브랜드 콘텐츠와 마케팅에 관심이 많고, 즐겁게 배워보고 싶은 분
디지털 콘텐츠 트렌드에 민감하고, 다양한 브랜드 활동을 관찰하는 걸 좋아하는 분
꼼꼼하게 문서와 숫자를 다루며, 정확하게 검토하는 업무에 자신 있는 분
기본적인 오피스 툴(특히 Excel 또는 Google 스프레드시트) 사용이 가능한 분
팀과의 커뮤니케이션을 중요하게 생각하며, 협업을 긍정적으로 대하는 분","[전형 안내]
서류전형 - 면접전형 - 최종합격"
진에어,대기업,,,서울 강서구,,
이앤에스글로벌,중견기업,,,서울 강남구,,
CJ푸드빌,대기업,,데이터 전략·분석 전문가,서울 중구,"- 4년제 학사 졸 이상
- 관련 학과 : 컴퓨터공학, 산업공학, 경영정보, 문헌정보 등
- Data 분석 역량 및 관련 프로젝트 경력 3년 이상
- 다양한 Data 분석 Tool 활용 경험 (Python, SQL 등)
- ‘Data’ 기반으로 객관적인 현상 인식과 '분석적 사고'를 통해 솔루션을 도출하는 역량
- 현장 업무에 대한 이해를 위한 현업과의 협업 역량
- Data 분석을 위한 Data Engineer 등 관련 전문가들과의 협업 역량","[전형 안내]
서류전형 - 면접전형 - 최종합격"
CJ푸드빌,대기업,,디지털서비스 APP 개발자,서울 중구,"- 4년제 대학 졸업자 이상
- 컴퓨터공학, 산업공학, 소프트웨어공학 등 관련학과
- React Native 및 Flutter 개발 경험 (최소 5년 이상) 💻
- App 설계부터 배포, 서비스 운영까지의 경험이 있으신 분
- 자기 주도적인 개발과 전체 프로세스를 고려한 설계와 구현이 가능 하신 분","[전형 안내]
서류전형 - 면접전형 - 최종합격"
삼성전자,대기업,,[VD사업부] Product Partnership,경기 수원시 영통구,,
코레일네트웍스,공공기관/공기업,,일반직6급,"서울 용산구, 서울 구로구, 인천 연수구, 경기 과천시, 부산 동래구",하단 상세 공고 참조,"[전형 안내]
서류전형 - 인적성검사 - 필기전형 - 면접전형 - 최종합격"
주식회사 놀유니버스,중견기업,,,경기 성남시 수정구,,
한미그룹,대기업,,[한미약품] Medical,서울 송파구,,
국가정보원,공공기관/공기업,,해외정보,서울 강남구,하단 상세 공고 참조,"[전형 안내]
서류전형 - 면접전형 - 최종합격"
NHN Cloud,중견기업,,,경기 성남시 분당구,,
NHN Cloud,중견기업,,,경기 성남시 분당구,,
NHN Cloud,중견기업,,,경기 성남시 분당구,,
EY한영,외국계기업,,,서울 영등포구,,
Toss,중소기업,"IT/인터넷, 마케팅/광고/홍보, 영업/고객상담, 서비스",,,,
SNOW,대기업,,남미 타겟 EPIK 콘텐츠 마케팅 체험형 인턴,경기 성남시 분당구,,
근로복지공단,공공기관/공기업,,,"울산 중구, 부산 금정구, 대구 중구, 인천 남동구, 강원특별자치도 원주시",,
새만금개발공사,공공기관/공기업,,토지공급,전북특별자치도 군산시,하단 상세 공고 참조,"[전형 안내]
서류전형 - 면접전형 - 최종합격"
해태제과식품,중견기업,,,"충남 아산시, 광주 북구, 경기 양주시, 서울 용산구",,
NHN서비스,중견기업,,,경기 성남시 분당구,"- 초대졸 이상(졸업예정자 포함)
- 서비스앱(혹은웹)에 대한 경험이 많고 이해도가 높은 분
- 모바일게임에 대한 경험이 많고 이해도가 높은 분",
